"company_name","average_growth_rate"
"Bedford Falls Productions","0.74166666666666666667"
"BillBlock Media","0.73913043478260869565"
"Sycamore Pictures","0.73913043478260869565"
"Mitsubishi","0.73657079166666666667"
"Mandeville Films","0.7316752691752691709955555556"
"Peregrine","0.72727272727272727273"
"TriStar Pictures","0.723252811714541362335769"
"Medienboard Berlin-Brandenburg","0.71787240537240537818"
"Mad Chance","0.71672615578865578310"
"Artina Films","0.71428571428571428571"
"Andell Entertainment","0.71428571428571428571"
"Majestic Films International","0.71414141414141413030"
"Cattleya","0.71111111111111110000"
"Anarchos Productions","0.70776144526143790294"
"Imagenation Abu Dhabi FZ","0.70755297334244702554"
"Brownstone Productions","0.70588235294117647059"
"Columbia Pictures Corporation","0.699268436638731969837363"
"Fox Searchlight Pictures","0.69539821651875716737"
"Twentieth Century Fox Film Corporation","0.6905698795719099391183653846"
"Gunn Films","0.69028540903540902222"
"Phoenix Pictures","0.68980451947931622443"
"Valhalla Motion Pictures","0.68843839191967281549"
"Canal+","0.68466582202533443087"
"Intermedia Films","0.680084058713090967914375"
"Peninsula Films","0.67857142857142855000"
"QED International","0.67850261843867982166"
"Columbia Pictures","0.677200430297214537020331"
"Darko Entertainment","0.67624699002407981438"
"Channel Four Films","0.67551920855380570478"
"Eyetronics","0.67500000000000000000"
"Marvel Enterprises","0.66864153885945001555"
"Emmett/Furla Films","0.66680214845872001235"
"National Lottery","0.66666806666666665000"
"Molinare Investment","0.66666666666666666667"
"Smart Egg Pictures","0.66666666666666666667"
"Polar Entertainment Corporation","0.66666666666666666667"
"Eden Rock Media","0.66666666666666666667"
"Buena Vista","0.66666666666666666667"
"The Guber-Peters Company","0.666666666666666650000000"
"Crystal Sky Worldwide","0.66666666666666665000"
"Mike Zoss Productions","0.66406671564566302013"
"Orion Pictures","0.66338796261210054313"
"Nouvelles u00c9ditions de Films (NEF)","0.65888888888888890000"
"Eyescreen S.r.l.","0.65651250103962212876"
"Gary Sanchez Productions","0.647094017094017094016667"
"uFilm","0.64370915454773010686"
"Walt Disney Animation Studios","0.63745778031492317207"
"Di Bonaventura Pictures","0.635755343415038159861111"
"U-Drive Productions","0.633133647125944959650000"
"Silver Pictures","0.6225854055734570461287500000"
"Twisted Pictures","0.611672278338945000056667"
