"actor_name","movie_count","rank"
"Imelda Staunton","16","32"
"Josh Hutcherson","15","33"
"Sarah Michelle Gellar","15","33"
"Tom Bower","15","33"
"Jared Harris","15","33"
"Shirley Henderson","15","33"
"Rufus Sewell","15","33"
"Elle Fanning","15","33"
"Tobey Maguire","15","33"
"Billy Crudup","15","33"
"Kim Basinger","15","33"
"Mandy Moore","15","33"
"Sissy Spacek","15","33"
"Heather Graham","15","33"
"Rhys Ifans","15","33"
"Mike Starr","15","33"
"Ian McShane","15","33"
"David Spade","15","33"
"Ethan Suplee","15","33"
"Mark Margolis","15","33"
"James McAvoy","15","33"
"Janeane Garofalo","15","33"
"Nathan Lane","15","33"
"Clive Owen","15","33"
"Dennis Haysbert","15","33"
"Tim Curry","15","33"
"Robert Redford","15","33"
"Bill Nunn","15","33"
"Derek Jacobi","15","33"
"Piper Perabo","15","33"
"Keegan-Michael Key","15","33"
"Gary Cole","15","33"
"Thandie Newton","15","33"
"Frankie Faison","15","33"
"Peter Gerety","15","33"
"Carrie-Anne Moss","15","33"
"Celia Imrie","15","33"
"Jessica Biel","15","33"
"Ed Helms","15","33"
"Patton Oswalt","15","33"
"Taye Diggs","15","33"
"Jonathan Rhys Meyers","15","33"
"Anna Kendrick","15","33"
"Logan Lerman","15","33"
"Maury Chaykin","15","33"
"Mary Kay Place","15","33"
"Edward Burns","15","33"
"Anjelica Huston","15","33"
"Eric Bana","15","33"
"Matt Dillon","15","33"
"Jodie Foster","15","33"
"Victor Garber","15","33"
"Stephen Dorff","15","33"
"Juliette Lewis","15","33"
"Frances Fisher","15","33"
"Paul Dano","15","33"
"Lois Maxwell","15","33"
"Joe Morton","15","33"
"Brian Doyle-Murray","15","33"
"Woody Allen","15","33"
"Jennifer Lawrence","15","33"
"Glenn Close","15","33"
"Roger Guenveur Smith","15","33"
"Minnie Driver","15","33"
"Doug Jones","15","33"
"Vera Farmiga","15","33"
"Olivia Williams","15","33"
"Frances McDormand","15","33"
"Bonnie Hunt","15","33"
"Billy Connolly","15","33"
"Bryan Cranston","15","33"
"Alexa PenaVega","14","34"
"Tony Curran","14","34"
"Michael Ealy","14","34"
"Brian Dennehy","14","34"
"Reg E. Cathey","14","34"
"Kevin Dunn","14","34"
"Tom Hollander","14","34"
"Mila Kunis","14","34"
"Stephen Fry","14","34"
"Michael Kelly","14","34"
"Will Forte","14","34"
"Sandra Oh","14","34"
"Juno Temple","14","34"
"Zac Efron","14","34"
"Jeff Garlin","14","34"
"Christine Baranski","14","34"
"Tom Arnold","14","34"
"Paul Newman","14","34"
"Sarah Jessica Parker","14","34"
"Jamie Lee Curtis","14","34"
"Seymour Cassel","14","34"
"Deep Roy","14","34"
"Nicky Katt","14","34"
"Freddie Prinze Jr.","14","34"
"Chris Pratt","14","34"
"Kevin Durand","14","34"
"Amy Smart","14","34"
"Aidan Quinn","14","34"
"Kristin Scott Thomas","14","34"
"Radha Mitchell","14","34"
"Jared Leto","14","34"
"Frank Oz","14","34"
"Clea DuVall","14","34"
"Anne Heche","14","34"
"Joan Allen","14","34"
"Selma Blair","14","34"
"Lance E. Nichols","14","34"
"Paula Patton","14","34"
"Jim Belushi","14","34"
"Marion Cotillard","14","34"
"Kelly Preston","14","34"
"Robert Englund","14","34"
"Rene Russo","14","34"
"Andy Richter","14","34"
"Xander Berkeley","14","34"
"Josh Peck","14","34"
"Annette Bening","14","34"
"Kelsey Grammer","14","34"
"Jet Li","14","34"
"Scott Caan","14","34"
"Chance Kelly","14","34"
"David Bradley","14","34"
"Rip Torn","14","34"
"David Oyelowo","14","34"
"Orlando Bloom","14","34"
"Emile Hirsch","14","34"
"Michael Jai White","14","34"
"Stephen Rea","14","34"
"Billy Crystal","14","34"
"Ivana Miliu010deviu0107","14","34"
"Daryl Hannah","14","34"
"Meg Ryan","14","34"
"Treat Williams","14","34"
"Wes Bentley","14","34"
"Matt Craven","14","34"
"T.J. Miller","14","34"
"Lisa Kudrow","14","34"
"Dianne Wiest","14","34"
"Simon Callow","14","34"
"Jack McGee","14","34"
"Dennis Farina","14","34"
"Michelle Williams","14","34"
"Mary Elizabeth Winstead","14","34"
"Jennifer Jason Leigh","14","34"
"Fred Tatasciore","14","34"
"Jay Baruchel","14","34"
"Charlton Heston","14","34"
"Kevin Smith","14","34"
"Taraji P. Henson","14","34"
"Adewale Akinnuoye-Agbaje","14","34"
"Tracy Morgan","14","34"
"Clint Howard","14","34"
"Jeremy Irons","14","34"
"Tu00e9a Leoni","14","34"
"Jon Gries","14","34"
"Sofu00eda Vergara","14","34"
"Burt Reynolds","14","34"
"Virginia Madsen","14","34"
"Danny Mann","14","34"
"Julian Richings","14","34"
"Ewen Bremner","14","34"
"Rex Linn","14","34"
"Sven-Ole Thorsen","14","34"
"Dave Franco","14","34"
"Jackie Earle Haley","14","34"
"Dash Mihok","14","34"
"Rosamund Pike","14","34"
"Jason Schwartzman","14","34"
"Jason Biggs","14","34"
"Albert Brooks","14","34"
"Tim Allen","14","34"
"Rita Wilson","13","35"
"Loretta Devine","13","35"
"Natasha Lyonne","13","35"
"Harry Lennix","13","35"
"Eddie Griffin","13","35"
"Shawn Hatosy","13","35"
"Kat Dennings","13","35"
"Wesley Snipes","13","35"
"Lucas Black","13","35"
"Joel Edgerton","13","35"
"Ted Raimi","13","35"
"Chevy Chase","13","35"
"Tom Lister Jr.","13","35"
"Emma Roberts","13","35"
"Richard Dreyfuss","13","35"
"Hu00e9ctor Elizondo","13","35"
"Chris Ellis","13","35"
"Antoni Corone","13","35"
"Hayden Panettiere","13","35"
"Daniel von Bargen","13","35"
"Adam Brody","13","35"
"Joshua Jackson","13","35"
"David Arquette","13","35"
"Michael Biehn","13","35"
"Tony Cox","13","35"
"Ron Livingston","13","35"
"Martin Freeman","13","35"
"Cole Hauser","13","35"
"Jake Johnson","13","35"
"Ricky Gervais","13","35"
"Walton Goggins","13","35"
"Charlotte Rampling","13","35"
"Craig T. Nelson","13","35"
"Randy Quaid","13","35"
"W. Earl Brown","13","35"
"Jacob Vargas","13","35"
"Christopher Guest","13","35"
"Kathleen Freeman","13","35"
"Vinnie Jones","13","35"
"Chi McBride","13","35"
"Brad Garrett","13","35"
"David Alan Grier","13","35"
"Bruce Spence","13","35"
"Kevin Nealon","13","35"
"Holt McCallany","13","35"
"Brent Spiner","13","35"
"Leland Orser","13","35"
"Tyrese Gibson","13","35"
"Yasiin Bey","13","35"
"Faizon Love","13","35"
"Tim Griffin","13","35"
"Brie Larson","13","35"
"Caroline Goodall","13","35"
"Denis Leary","13","35"
"Brad Dourif","13","35"
"Christoph Waltz","13","35"
"Gary Sinise","13","35"
"Bette Midler","13","35"
"Charles S. Dutton","13","35"
"Joe Mantegna","13","35"
"Aasif Mandvi","13","35"
"Justin Timberlake","13","35"
"Martin Short","13","35"
"Colin Salmon","13","35"
"Michael Pitt","13","35"
"Callum Keith Rennie","13","35"
"Claire Forlani","13","35"
"Michael Byrne","13","35"
"Stacey Travis","13","35"
"Corey Burton","13","35"
"Jon Hamm","13","35"
"Stacy Keach","13","35"
"Wendell Pierce","13","35"
"Rupert Everett","13","35"
"Alan Alda","13","35"
"Mark Webber","13","35"
"Charles Durning","13","35"
"Jim Caviezel","13","35"
"Samantha Morton","13","35"
"Tobin Bell","13","35"
"Elden Henson","13","35"
"Mike Myers","13","35"
"Jon Polito","13","35"
"Richard Griffiths","13","35"
"Michelle Rodriguez","13","35"
"Hugh Laurie","13","35"
"Derek Luke","13","35"
"Billy Zane","13","35"
"Tamala Jones","13","35"
"Ann Dowd","13","35"
"Julie Walters","13","35"
"Holly Hunter","13","35"
"Norman Reedus","13","35"
"Andie MacDowell","13","35"
"James Russo","13","35"
"Marcus Lyle Brown","13","35"
"Paul Dooley","13","35"
"Milo Ventimiglia","13","35"
"Scott Eastwood","13","35"
"Pam Grier","13","35"
"Richard E. Grant","13","35"
"Hal Holbrook","13","35"
"Tyler Perry","13","35"
"Ron Rifkin","13","35"
"Jennifer Tilly","13","35"
"Adam LeFevre","13","35"
"Jane Krakowski","13","35"
"David Warshofsky","13","35"
"Jessica Chastain","13","35"
"F. Murray Abraham","12","36"
"Bokeem Woodbine","12","36"
"Rosanna Arquette","12","36"
"Leslie Bibb","12","36"
"Taryn Manning","12","36"
"Dominic Cooper","12","36"
"Kenneth Branagh","12","36"
"Ray Stevenson","12","36"
"Snoop Dogg","12","36"
"Rainn Wilson","12","36"
"Bryce Dallas Howard","12","36"
"Rhoda Griffis","12","36"
"Pat Kiernan","12","36"
"Dick Miller","12","36"
"Dexter Fletcher","12","36"
"Naomie Harris","12","36"
"Harland Williams","12","36"
"Brent Briscoe","12","36"
"Amber Heard","12","36"
"Lindsay Lohan","12","36"
"Nick Frost","12","36"
"Jay Mohr","12","36"
"Gregg Henry","12","36"
"Harry Shearer","12","36"
"Method Man","12","36"
"Andrea Martin","12","36"
"Warwick Davis","12","36"
"Marley Shelton","12","36"
"Joey King","12","36"
"Rebecca Hall","12","36"
"Zou00eb Kravitz","12","36"
"Kal Penn","12","36"
"Larry King","12","36"
"Diedrich Bader","12","36"
"Jessica Cauffiel","12","36"
"Martin Donovan","12","36"
"Joe Pesci","12","36"
"Vanessa Hudgens","12","36"
"Yul Vazquez","12","36"
"E. Roger Mitchell","12","36"
"Heath Ledger","12","36"
"Jason Robards","12","36"
"Tom Felton","12","36"
"Edward Herrmann","12","36"
"Arthur J. Nascarella","12","36"
"Nathan Fillion","12","36"
"Jim Gaffigan","12","36"
"Jeremy Northam","12","36"
"Tony Goldwyn","12","36"
"Gary Grubbs","12","36"
"Cara Seymour","12","36"
"Lukas Haas","12","36"
"John Gielgud","12","36"
"Ali Larter","12","36"
"Michael Wincott","12","36"
"Conrad Vernon","12","36"
"Colin Hanks","12","36"
"Rod Steiger","12","36"
"Billy Burke","12","36"
"Max Casella","12","36"
"Michael Rispoli","12","36"
"Isaiah Washington","12","36"
"Bernard Hill","12","36"
"Wendy Crewson","12","36"
"Michael Cera","12","36"
"George Lopez","12","36"
"John Ortiz","12","36"
"Diane Kruger","12","36"
"Joe Pingue","12","36"
"Christopher Meloni","12","36"
"Fisher Stevens","12","36"
"Ben Mendelsohn","12","36"
"Noah Taylor","12","36"
"Boyd Banks","12","36"
"Andrew Daly","12","36"
"Emma Watson","12","36"
"Rebel Wilson","12","36"
"Daniel Mays","12","36"
"Neal McDonough","12","36"
"Hayden Christensen","12","36"
"Regina Hall","12","36"
"Peter Dinklage","12","36"
"Richard T. Jones","12","36"
"Tara Reid","12","36"
"Glenn Plummer","12","36"
"LL Cool J","12","36"
"Harold Perrineau","12","36"
"Amy Ryan","12","36"
"Eric Stoltz","12","36"
"RZA","12","36"
"Scott Adkins","12","36"
"Jeffrey Jones","12","36"
"Scoot McNairy","12","36"
"Sharon Stone","12","36"
"John Slattery","12","36"
"Richard Kind","12","36"
"Chris Messina","12","36"
"Mary McCormack","12","36"
"Tom Savini","12","36"
"Kim Cattrall","12","36"
"Michael Angarano","12","36"
"Ellen Burstyn","12","36"
"Lochlyn Munro","12","36"
"Miguel Sandoval","12","36"
"Javier Bardem","12","36"
"Mary Ellen Trainor","12","36"
"Tim Pigott-Smith","12","36"
"Carmen Electra","12","36"
"John Rhys-Davies","12","36"
"Jason Clarke","12","36"
