"company_name","movie_title","revenue","revenue_quartile"
"Ambush Entertainment","The Oh in Ohio","0",2
"AMC Pictures","Arn: Tempelriddaren","0",1
"Amen Ra Films","Blade II","155010032",1
"Amen Ra Films","Blade","131183530",1
"Amen Ra Films","Blade: Trinity","128905366",2
"Amen Ra Films","The Art of War","30199105",3
"Amen Ra Films","Undisputed","12398628",4
"Amercent Films","Predator","98235548",1
"American Empirical Pictures","The Grand Budapest Hotel","174600318",1
"American Empirical Pictures","Moonrise Kingdom","68263166",2
"American Empirical Pictures","Fantastic Mr. Fox","46471023",3
"American Empirical Pictures","The Life Aquatic with Steve Zissou","34808403",4
"American Entertainment Investors","Wing Commander","0",1
"American Entertainment Partners II L.P.","Big","151668774",1
"American Entertainment Partners L.P.","Predator","98235548",1
"American Entertainment Partners L.P.","Frailty","13110448",2
"American Film Company","The Conspirator","15478800",1
"American Film Institute (AFI)","Eraserhead","7000000",1
"American Films","Flipper","20080020",1
"American Filmworks","Roar","2000000",1
"American Girl Brands","Kit Kittredge: An American Girl","0",1
"American International Pictures (AIP)","Meteor","0",1
"American Playhouse Theatrical Films","Much Ado About Nothing","0",1
"American Work","Hesher","382946",1
"American Zoetrope","Dracula","215862692",1
"American Zoetrope","Lost in Translation","119723856",1
"American Zoetrope","Jeepers Creepers 2","63102666",1
"American Zoetrope","Marie Antoinette","60474340",1
"American Zoetrope","Jeepers Creepers","59217789",2
"American Zoetrope","Peggy Sue Got Married","41382841",2
"American Zoetrope","The Outsiders","33697647",2
"American Zoetrope","Don Juan DeMarco","22200000",2
"American Zoetrope","The Virgin Suicides","10409377",3
"American Zoetrope","On the Road","8784318",3
"American Zoetrope","Kinsey","0",3
"American Zoetrope","Somewhere","0",4
"American Zoetrope","สุริโยไท","0",4
"American Zoetrope","Twixt","0",4
"Amok Productions","Rampage","0",1
"Amusement Park Films","A Most Wanted Man","31554855",1
"Amy Robinson Productions","Drive Me Crazy","22593409",1
"An Olive Branch Productions","Casino Jack","1083683",1
"ANA Media","Killer Joe","3665069",1
"ANA Media","The Timber","0",2
"Anagram Pictures Inc.","Fido","426224",1
"Anarchist's Convention Films","Amigo","0",1
"Anarchos Productions","Jupiter Ascending","183987723",1
"Anarchos Productions","V for Vendetta","132511035",1
"Anarchos Productions","Cloud Atlas","130482868",2
"Anarchos Productions","Speed Racer","93945766",3
"Anarchos Productions","Ninja Assassin","60462347",4
"Anchor Bay Entertainment","Fear Clinic","0",1
"Anchor Bay Films","I Spit on Your Grave","572809",1
"Ancine","Blindness","19844979",1
"Andalasia Productions","Enchanted","340487652",1
"Andale Pictures","Quarantine","40855419",1
"Andell Entertainment","State of Play","87784194",1
"Andell Entertainment","Lions for Lambs","63215872",2
"Andell Entertainment","Safe Men","0",3
"Andrea Sperling Productions","Like Crazy","3542353",1
"Andrea Sperling Productions","D.E.B.S.","0",2
"Andreevsky Flag Film Company","Монгол","26527510",1
"Andrew Lauren Productions (ALP)","The Spectacular Now","6854611",1
"Angel City Pictures","The 5th Quarter","399611",1
"Angel Eyes Productions","Angel Eyes","29700000",1
"Angel films","Dancer in the Dark","40031879",1
"Angry Films","Real Steel","299268508",1
"Angry Films","The League of Extraordinary Gentlemen","179265204",2
"Anima Estudios","Don Gato: El inicio de la pandilla","0",1
"Animal Kingdom","It Follows","14674076",1
"Animal Kingdom","Kicks","0",2
"Animal Logic","The Lego Movie","469160692",1
"Animal Logic","Happy Feet","384335608",2
"Animal Logic","Legend of the Guardians: The Owls of Ga'Hoole","140073390",3
"Animal Logic","Walking With Dinosaurs","126546518",4
"Animal Planet","The Crocodile Hunter: Collision Course","33082548",1
"Animated Family Films","The Lion of Judah","0",1
"Animation Picture Company","Jungle Shuffle","0",1
"Animationwerks","Ghosts of Mars","14010832",1
"Animus Films","Don McKay","0",1
"Anka Film","Hitman","99965753",1
"Ankor-Film","Viy","0",1
"Annapurna Pictures","Terminator Genisys","440603537",1
"Annapurna Pictures","American Hustle","251171807",1
"Annapurna Pictures","Sausage Party","140752617",1
"Annapurna Pictures","Zero Dark Thirty","132820716",2
"Annapurna Pictures","Joy","101134059",2
"Annapurna Pictures","一代宗師","64076736",3
"Annapurna Pictures","Her","47351251",3
"Annapurna Pictures","Killing Them Softly","37930465",4
"Annapurna Pictures","The Master","28258060",4
"Annuit Coeptis Entertainment II","How to Fall in Love","0",1
"Annuit Coeptis Entertainment Inc.","How to Fall in Love","0",1
"Anomaly Entertainment","Copying Beethoven","0",1
"Anonymous Content","The Revenant","532950503",1
"Anonymous Content","50 First Dates","196482882",1
"Anonymous Content","Babel","135330182",1
"Anonymous Content","Spotlight","88346473",1
"Anonymous Content","Eternal Sunshine of the Spotless Mind","72258126",1
"Anonymous Content","Case 39","29000000",2
"Anonymous Content","Rendition","24748670",2
"Anonymous Content","Big Miracle","24719215",2
"Anonymous Content","In the Land of Women","17500000",2
"Anonymous Content","Winter's Bone","13831503",3
"Anonymous Content","Triple 9","12639297",3
"Anonymous Content","Fun Size","11417362",3
"Anonymous Content","Seeking a Friend for the End of the World","9636289",3
"Anonymous Content","The Fifth Estate","8555008",4
"Anonymous Content","The Beaver","970816",4
"Anonymous Content","D.E.B.S.","0",4
"Anonymous Content","Married Life","0",4
"Anouchka Films","Une femme mariée: Suite de fragments d'un film tourné en 1964","0",1
"Antares Produzione Cinematografica","The Beastmaster","14056528",1
"Antena 3 Films","Vicky Cristina Barcelona","96408652",1
"Antena 3 Films","Red Lights","13551174",2
"Antena 3 Films","You Will Meet a Tall Dark Stranger","0",3
"Antena 3 Televisiu00f3n","Vicky Cristina Barcelona","96408652",1
"Antena 3 Televisiu00f3n","Los lunes al sol","146402",2
"Anthem Pictures","2:13","0",1
"Anthem Productions","My All American","0",1
"Antidote Films (I)","The Kids Are All Right","34705850",1
"Antidote Films (I)","Thirteen","4601043",2
"Antietam Filmworks","Gods and Generals","12923936",1
"Anton Capital Entertainment (ACE)","Paddington","259207227",1
"Anton Capital Entertainment (ACE)","Non-Stop","222809600",1
"Anton Capital Entertainment (ACE)","Legend","42972994",2
"Anton Capital Entertainment (ACE)","Inside Llewyn Davis","32935319",2
"Anton Capital Entertainment (ACE)","The Gunman","13644292",3
"Anton Capital Entertainment (ACE)","Our Kind of Traitor","9930095",4
"Antzworks","Antarctica: A Year on Ice","0",1
"Anvil Films","Ray","124731534",1
"Apaches Entertainment","Lo imposible","180274123",1
"Apaches Entertainment","Out of the Dark","0",2
"Apatow Productions","Bridesmaids","288383523",1
"Apatow Productions","Knocked Up","219076518",1
"Apatow Productions","Anchorman 2: The Legend Continues","173649015",1
"Apatow Productions","Talladega Nights: The Ballad of Ricky Bobby","162966177",1
"Apatow Productions","Trainwreck","140795793",1
"Apatow Productions","Step Brothers","128107642",2
"Apatow Productions","Superbad","121463226",2
"Apatow Productions","The 40 Year Old Virgin","109449237",2
"Apatow Productions","Forgetting Sarah Marshall","105173115",2
"Apatow Productions","Pineapple Express","101624843",2
"Apatow Productions","Anchorman: The Legend of Ron Burgundy","90574188",3
"Apatow Productions","Get Him to the Greek","90029656",3
